央视高清,#genre#
CCTV-1综合,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-1-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-2财经,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-2-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-3综艺,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-3-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-4中文国际,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-4-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-5体育,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-5-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-6电影,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-6-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-7国防军事,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-7-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-8电视剧,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-8-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-9纪录,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-9-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-10科教,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-10-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-11戏曲,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-11-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-12社会与法,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-12-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-13新闻,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-13-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-14少儿,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-14-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-15音乐,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-15-HD-265-8M/1.m3u8?m3u8_level=2
CCTV-16奥林匹克,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-16-4K-8M/G_CCTV-16-4K-8M/1.m3u8?m3u8_level=2
CCTV-17农业农村,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-17-CQ/1.m3u8?m3u8_level=2
CCTV-5+,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-5PLUS-HD-265-8M/1.m3u8?m3u8_level=2
CCTV4K,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-4K-HD/G_CCTV-4K-HD/1.m3u8?m3u8_level=2
中国教育1台,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-1-HQ/G_CETV-1-HQ/1.m3u8?m3u8_level=2
中国教育2台,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-2/G_CETV-2/1.m3u8?m3u8_level=2
中国教育3台,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-3/1.m3u8?m3u8_level=2
中国教育4台,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CETV-4/1.m3u8?m3u8_level=2
CGTN新闻,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS/1.m3u8?m3u8_level=2
CGTN俄语,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CGTN-PYCCNN/G_CGTN-PYCCNN/1.m3u8?m3u8_level=2
CGTN法语,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CGTN-FRANCAIS/G_CGTN-FRANCAIS/1.m3u8?m3u8_level=2
CGTN西班牙语,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CGTN-ESPANOL/G_CGTN-ESPANOL/1.m3u8?m3u8_level=2
CGTN阿拉伯语,http://yinhelive.zhongping.jsinfo.net:6060/gitv_live/G_CGTN_A/gitv_live/G_CGTN_A/1.m3u8?m3u8_level=2
卫视频道,#genre#
